1.3210909961715203e-05,2.0744906184429223e-06,1.5285400510351128e-05,0.00026543871667454366
8.966980161525932e-07,2.6435156271925783e-06,3.540213575705147e-06,6.752482748652255e-07
1.2584128911720675e-06,4.300392878266616e-06,5.558805663524907e-06,7.506512540771837e-07
2.555200450265168e-06,7.449202644071429e-06,1.0004402912514936e-05,1.0977172110870015e-06
5.028053525609992e-06,1.1368171839827083e-05,1.6396225074935777e-05,2.6673181423575443e-06
8.362383514060572e-06,1.46203999433858e-05,2.2982783087034997e-05,4.849084257875802e-06
1.136562082733809e-05,1.6646590106640845e-05,2.8012210527084652e-05,8.274160606197255e-06
1.309616094317539e-05,1.74802374578066e-05,3.057639793443094e-05,1.1980844274148694e-05
1.386526820926853e-05,1.765795926078126e-05,3.152322701728745e-05,1.3223301992184134e-05
1.4181286256486751e-05,1.76151598048916e-05,3.179644561563261e-05,1.4047741876129295e-05
7.456725976219399e-07,6.29217180946574e-07,1.3748897617629096e-06,1.3701861300796736e-05
4.780279195881101e-07,1.4251897094767914e-06,1.9032175926778723e-06,3.353596249070279e-07
9.076693875440753e-07,3.0173310229547696e-06,3.925000335244954e-06,4.869688179951481e-07
2.048907128265548e-06,5.7998448296424565e-06,7.84875180709158e-06,8.841458389724722e-07
4.356878423059145e-06,9.610053744941362e-06,1.3966931935386549e-05,2.1506026122096957e-06
7.560424422001763e-06,1.3461305777068901e-05,2.1021729867138655e-05,4.361954036903626e-06
1.0565628884990258e-05,1.58769666187571e-05,2.644259510448791e-05,7.984867627237691e-06
1.2441866395196985e-05,1.6927061039797185e-05,2.93689270154116e-05,1.0688104151631706e-05
1.3361203468971365e-05,1.714220937197627e-05,3.050341241389759e-05,1.237332891614642e-05
1.3826735412178072e-05,1.7084920219980163e-05,3.091165520351388e-05,1.382657462836505e-05
6.216563291088718e-07,6.029799159336408e-07,1.2246362297206585e-06,1.3553095110364666e-05
4.2879901166928614e-07,1.4026743105338274e-06,1.8314732874706415e-06,2.93080560985004e-07
8.782721602357298e-07,2.9676312661857745e-06,3.845903350580241e-06,3.9182153543606546e-07
2.0241879433045537e-06,5.6699040673999556e-06,7.69409186468154e-06,8.914834815186623e-07
4.302587595662491e-06,9.442105938444427e-06,1.3744693291954667e-05,1.8610555003760964e-06
7.4821858339556665e-06,1.3178946413763e-05,2.066113191145262e-05,4.406927117270243e-06
1.0474875844882438e-05,1.550357506320009e-05,2.5978450525767528e-05,7.608224038813205e-06
1.2347761765274832e-05,1.6407721879590057e-05,2.8755483233576823e-05,1.0206440124784422e-05
1.3271473298702338e-05,1.665185404321055e-05,2.9923326922088123e-05,1.2431414419916108e-05
1.3703246914759996e-05,1.660988067937961e-05,3.0313127188822977e-05,1.3161504310301098e-05
5.881059047715446e-07,5.954842407609966e-07,1.1835901302989958e-06,1.4136149603473313e-05
4.1946869522264665e-07,1.3926847076300957e-06,1.8121533678048244e-06,2.7162767160007205e-07
8.740747024351317e-07,2.932239787313647e-06,3.8063144162760485e-06,4.0957937476946426e-07
2.0100248833011956e-06,5.600515023532642e-06,7.610539767932732e-06,9.000808546943517e-07
4.278771655333483e-06,9.299106365932325e-06,1.3577877783337189e-05,1.9745933637750566e-06
7.5015009101846805e-06,1.2924640165862859e-05,2.042614073593536e-05,4.020991523975681e-06
1.0453685078991377e-05,1.5149821651282372e-05,2.560350633619755e-05,7.553073478811711e-06
1.2356386913568489e-05,1.6044357512552373e-05,2.8400744015522388e-05,1.1008373162439966e-05
1.3294707860837822e-05,1.622479127493828e-05,2.9519498752438163e-05,1.2674835598591016e-05
1.3724606542879073e-05,1.6223745901993834e-05,2.9948352058330942e-05,1.3409252302517417e-05
